City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bonfim,BR,3.0833,-59.95,82.06,67,100,5.3,overcast clouds
1,Thompson,CA,55.7435,-97.8558,19.56,45,20,16.11,few clouds
2,Formiga,BR,-20.4644,-45.4264,65.17,77,48,5.32,scattered clouds
3,Ust-Tsilma,RU,65.441,52.1498,31.1,89,100,4.29,overcast clouds
4,Longyearbyen,SJ,78.2186,15.6401,8.44,61,75,11.5,light snow
5,Beyneu,KZ,45.3167,55.2,50.45,63,1,10.83,clear sky
6,Viedma,AR,-40.8135,-62.9967,67.93,45,95,24.49,overcast clouds
7,Vardo,NO,70.3705,31.1107,34.88,87,100,5.21,overcast clouds
8,Antofagasta,CL,-23.65,-70.4,61.88,89,44,4.81,scattered clouds
9,Ushuaia,AR,-54.8,-68.3,38.86,75,0,3.44,clear sky
10,Bambous Virieux,MU,-20.3428,57.7575,75.45,73,40,13.8,scattered clouds
11,Ancud,CL,-41.8697,-73.8203,44.22,75,64,21.72,light rain
12,Placido De Castro,BR,-10.3353,-67.1856,74.46,98,91,2.64,overcast clouds
13,Busselton,AU,-33.65,115.3333,68.56,50,100,11.3,light rain
14,Carnarvon,AU,-24.8667,113.6333,68.07,94,40,5.75,scattered clouds
15,Clyde River,CA,70.4692,-68.5914,7.03,92,100,5.75,light snow
16,Qaqortoq,GL,60.7167,-46.0333,35.58,90,100,4.05,overcast clouds
17,Puerto Ayora,EC,-0.7393,-90.3518,72.37,89,73,6.71,broken clouds
18,Charagua,BO,-19.8,-63.2167,73.71,76,27,16.87,scattered clouds
19,Atuona,PF,-9.8,-139.0333,79.07,74,24,17.07,few clouds
20,Buchanan,LR,5.8808,-10.0467,75.72,86,100,2.19,overcast clouds
21,Hilo,US,19.7297,-155.09,83.28,93,67,4.0,broken clouds
22,Avarua,CK,-21.2078,-159.775,82.45,78,20,5.75,few clouds
23,Jamshedpur,IN,22.8,86.1833,78.62,73,4,0.0,haze
24,Cherskiy,RU,68.75,161.3,22.89,80,100,7.25,overcast clouds
25,Albany,US,42.6001,-73.9662,61.45,46,73,9.1,broken clouds
26,Envira,BR,-7.3,-70.2167,75.76,92,100,1.14,overcast clouds
27,Yellowknife,CA,62.456,-114.3525,37.92,52,20,15.01,few clouds
28,Baykit,RU,61.67,96.37,31.96,88,100,6.4,overcast clouds
29,Jamestown,US,42.097,-79.2353,76.64,33,0,5.75,clear sky
30,Mataura,NZ,-46.1927,168.8643,54.48,76,90,12.1,overcast clouds
31,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,74,0,5.75,clear sky
