City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Formiga,BR,65.17,scattered clouds,-20.4644,-45.4264,Victor Plaza Hotel
6,Viedma,AR,67.93,overcast clouds,-40.8135,-62.9967,Hotel Cristal
10,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
12,Placido De Castro,BR,74.46,overcast clouds,-10.3353,-67.1856,Hotel Carioca
13,Busselton,AU,68.56,light rain,-33.65,115.3333,Observatory Guest House
14,Carnarvon,AU,68.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
17,Puerto Ayora,EC,72.37,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
18,Charagua,BO,73.71,scattered clouds,-19.8,-63.2167,Hotel
19,Atuona,PF,79.07,few clouds,-9.8,-139.0333,Villa Enata
20,Buchanan,LR,75.72,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
23,Jamshedpur,IN,78.62,haze,22.8,86.1833,Ginger Jamshedpur
29,Jamestown,US,76.64,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
32,Salmon Creek,US,70.07,overcast clouds,45.7107,-122.649,La Quinta Inn & Suites by Wyndham Vancouver
36,Rikitea,PF,73.36,moderate rain,-23.1203,-134.9692,People ThankYou
38,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
40,Vao,NC,74.64,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
41,Katsuura,JP,68.58,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
43,Tautira,PF,80.8,light rain,-17.7333,-149.15,Pension Oaoa
45,Grand Gaube,MU,75.6,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
51,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
54,Galesong,ID,78.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
56,Itoman,JP,80.62,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
58,Shache,CN,67.28,broken clouds,38.4167,77.2406,Delong Hotel
64,Villa Maria,AR,69.82,clear sky,-32.4075,-63.2402,Hotel Milenium
66,Arraial Do Cabo,BR,75.11,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
68,Tijucas,BR,73.42,broken clouds,-27.2414,-48.6336,Hotel do Valle
75,Marawi,PH,78.64,broken clouds,7.9986,124.2928,Derogongan Residence
76,Saint George,US,70.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
77,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
80,Davidson,US,77.76,clear sky,36.1501,-86.7833,Best Western Plus Music Row
84,Cap Malheureux,MU,75.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
88,Inhambane,MZ,74.3,clear sky,-23.865,35.3833,Oceano
89,Emerald,AU,69.94,light rain,-23.5333,148.1667,The Irish Village
95,Hamilton,US,77.63,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
96,Gat,IL,72.39,broken clouds,31.61,34.7642,OlusHome
100,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
102,Bud,US,73.81,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
104,Xuddur,SO,73.99,scattered clouds,4.1213,43.8894,Banjanay Hotel
105,Mangochi,MW,68.65,scattered clouds,-14.4782,35.2645,Fort Johnstone Hotel
108,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
110,Buraydah,SA,66.65,few clouds,26.326,43.975,Mövenpick Qassim
111,Axim,GH,76.01,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
112,Tabou,CI,80.19,light rain,4.423,-7.3528,hotêl doufoulougou
114,Quatre Cocos,MU,75.31,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
116,Sinnamary,GF,78.13,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
119,Huarmey,PE,68.63,broken clouds,-10.0681,-78.1522,Hotel Miramar
120,Urucui,BR,75.74,few clouds,-7.2294,-44.5561,Hotel Premium Piauí
122,San Patricio,US,80.83,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
123,Mount Isa,AU,69.57,drizzle,-20.7333,139.5,ibis Styles Mt Isa Verona
126,Cockburn Town,TC,76.96,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
131,Clarence Town,AU,68.86,overcast clouds,-32.5833,151.7833,River Downs Cottage
132,Bandarbeyla,SO,81.23,broken clouds,9.4942,50.8122,JABIR HOTEL
138,Lompoc,US,78.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
142,Manavadar,IN,78.31,clear sky,21.5,70.1333,Dariyasheth Guest House
144,Charters Towers,AU,73.71,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
147,Shingu,JP,71.24,broken clouds,33.7333,135.9833,Shingu UI Hotel
152,Atambua,ID,81.46,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
153,Salalah,OM,79.7,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
154,Hambantota,LK,75.54,broken clouds,6.1241,81.1185,Bungalow 63
158,Broome,US,72.37,overcast clouds,42.2506,-75.833,Chenango Valley State Park
160,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
162,King City,US,80.44,clear sky,36.2127,-121.126,Days Inn by Wyndham King City
163,Salvador,SV,73.8,few clouds,13.8333,-88.9167,Chico's Ranch
167,Alice,US,80.33,clear sky,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
169,Saint-Pierre,RE,74.88,broken clouds,-21.3393,55.4781,Lindsey Hôtel
170,San Vicente,AR,68.63,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
174,Kahului,US,78.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
175,Ziyang,CN,78.24,overcast clouds,29.2497,117.8547,Wuyuan Great Wall Hotel
176,Tutoia,BR,76.95,overcast clouds,-2.7619,-42.2744,Pousada Guará's
177,Butaritari,KI,81.36,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
180,Ceres,US,80.92,clear sky,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
183,Tallahassee,US,73.99,broken clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
185,Ponta Do Sol,PT,65.01,light rain,32.6667,-17.1,Hotel do Campo
186,Lindi,TZ,73.42,light rain,-10.0,39.7167,Lindi paradise house
190,Elk City,US,68.22,clear sky,35.412,-99.4043,Hampton Inn & Suites Elk City
193,Monrovia,LR,76.51,overcast clouds,6.3005,-10.7969,Sunset Inn
196,Boca Do Acre,BR,74.97,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
197,Aquiraz,BR,78.19,light rain,-3.9014,-38.3911,Pousada Rua Camurupim
200,Pailon,BO,79.16,overcast clouds,-17.65,-62.75,Alojamiento pailon
201,Fort Smith,US,66.25,heavy intensity rain,35.3859,-94.3986,Hampton Inn Fort Smith
202,San Luis,AR,67.68,clear sky,-33.295,-66.3356,Huarpes Hotel
204,Whitianga,NZ,66.29,moderate rain,-36.8333,175.7,Beachside Resort Whitianga
205,Sao Filipe,CV,74.1,clear sky,14.8961,-24.4956,Hotel Xaguate
206,Tamandare,BR,78.17,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
207,Alexander City,US,73.49,clear sky,32.944,-85.9539,Hampton Inn Alexander City
211,Metro,ID,80.33,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
212,Bengkulu,ID,77.59,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
213,Petatlan,MX,78.26,clear sky,17.5167,-101.2667,Hotel California Petatlán
214,Manokwari,ID,81.79,few clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
222,Omboue,GA,77.92,overcast clouds,-1.5746,9.2618,Hotel Olako
228,Kisangani,CD,69.89,overcast clouds,0.5167,25.2,Grand Ramela Hotel
231,Cayenne,GF,81.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
237,Muswellbrook,AU,66.72,overcast clouds,-32.2667,150.9,Wayfarer Motel
239,Geraldton,AU,72.01,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
243,Bhatgaon,IN,80.78,haze,21.15,81.7,SINGH DHABA N RESTAURANT
246,Matara,LK,78.67,heavy intensity rain,5.9485,80.5353,Amaloh Boutique Resort
248,Belmonte,BR,78.03,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
249,Benguela,AO,74.12,broken clouds,-12.5763,13.4055,Hotel Praia Morena
255,Presidencia Roque Saenz Pena,AR,80.6,scattered clouds,-26.7852,-60.4388,Hotel Gualok
256,Mascote,BR,71.92,scattered clouds,-15.5631,-39.3025,Fazenda Novo ORIENTE
260,Zhicheng,CN,70.57,overcast clouds,30.2956,111.5047,Wangjiang Building
261,Esna,EG,75.78,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
263,Lazaro Cardenas,MX,78.28,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
264,Coffs Harbour,AU,70.12,scattered clouds,-30.3,153.1333,Aquajet Motel
267,La Grange Park,US,66.25,broken clouds,41.8348,-87.8617,"Holiday Inn Express & Suites Chicago West-O'Hare Arpt Area, an IHG Hotel"
269,Ipameri,BR,69.19,clear sky,-17.7219,-48.1597,Real Hotel
270,Ixtapa,MX,76.23,clear sky,20.7,-105.2,hotel la terminal
273,Jinja,UG,66.07,light rain,0.439,33.2032,2 Friends Guesthouse and Restaurant
274,Labuhan,ID,81.36,scattered clouds,-6.8844,112.2051,DoubleFAG
276,Gushikawa,JP,80.6,broken clouds,26.3544,127.8686,Kirari Guest House
277,Bowen,AU,77.36,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
280,Celestun,MX,81.91,few clouds,20.8667,-90.4,Posada Lilia
281,Chifeng,CN,68.94,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
284,Cangzhou,CN,71.08,overcast clouds,38.3167,116.8667,Jinji Express Hotel
286,Cidreira,BR,68.68,clear sky,-30.1811,-50.2056,Hotel Castelo
287,Tura,IN,76.35,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
290,Sao Felix Do Xingu,BR,72.52,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
292,Miraflores,MX,68.76,moderate rain,19.2167,-98.8083,Hotel Mansión
293,Porto Novo,BJ,79.9,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
294,Durban,ZA,67.01,overcast clouds,-29.8579,31.0292,Hilton Durban
298,Nisia Floresta,BR,77.81,light rain,-6.0911,-35.2086,Rancho Crepusculo
299,Mahebourg,MU,75.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
302,Songjianghe,CN,65.26,clear sky,42.1859,127.479,Sijisheng Fashion Guest House
306,Padampur,IN,80.82,broken clouds,29.6833,73.6167,Sidhu wali dhani
309,Vaitape,PF,81.45,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
310,Silifke,TR,69.44,clear sky,36.3778,33.9344,Ayatekla Hotel
311,Touros,BR,76.1,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
317,El Paujil,CO,71.71,moderate rain,1.5701,-75.3286,Hostal La Reina
318,Conceicao Do Araguaia,BR,73.72,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
320,Sao Geraldo Do Araguaia,BR,74.32,overcast clouds,-6.4006,-48.555,Hotel Por do Sol
321,Edea,CM,73.02,light rain,3.8,10.1333,Micotel Hotel
322,Pisco,PE,69.03,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
